dataset,method,intensity,model,cer,wer,cer_lower,wer_lower
rimes,awgn,100,RIMES-base,0.04623933320103195,0.13548501507359462,0.04516202194312931,0.13051959567299168
rimes,awgn,150,RIMES-base,0.06296600799478355,0.16953360524915764,0.061094888441584214,0.16439084944139032
rimes,awgn,200,RIMES-base,0.11028265245371814,0.2562511083525448,0.10829813171547642,0.2500443341017911
rimes,awgn,250,RIMES-base,0.16644458934595865,0.3435006206774251,0.16394976327502622,0.3376485192410002
rimes,blur,1.0,RIMES-base,0.03838630113684688,0.116155346692676,0.03716723839764126,0.11065791807057988
rimes,blur,2.0,RIMES-base,0.04703314149632864,0.13885440680971803,0.04462336631417798,0.1319382869303068
rimes,blur,3.0,RIMES-base,0.07220820457573782,0.18921794644440504,0.06891957020950869,0.18088313530767866
rimes,blur,4.0,RIMES-base,0.15068182462506732,0.3137081042738074,0.14651433107475972,0.30555062954424544
rimes,blur,5.0,RIMES-base,0.3156238482692144,0.5524029083170775,0.3110027499787373,0.5430040787373648
rimes,jpeg_compression,10,RIMES-base,0.03762084313781079,0.1143819826210321,0.03637343010234457,0.1085298811846072
rimes,jpeg_compression,6,RIMES-base,0.037394040767726025,0.11384997339953892,0.03634507980608397,0.10888455399893598
rimes,jpeg_compression,3,RIMES-base,0.04020072009752502,0.12041142046462139,0.03912340883962238,0.11526866465685405
rimes,jpeg_compression,1,RIMES-base,0.04099452839282171,0.12165277531477212,0.03983216624613727,0.11651001950700479
rimes,none,none,RIMES-base,0.036458480991126356,0.11065791807057988,0.034984265585575366,0.10533782585564816
rimes,none,none,RIMES_awgn,0.03747909165650781,0.11101259088490867,0.03651518158364755,0.10640184429863452
rimes,awgn,50,RIMES_awgn,0.0361749780285204,0.10746586274162086,0.035069316474357154,0.10303245256251109
rimes,awgn,100,RIMES_awgn,0.03835795084058628,0.11331796417804575,0.03722393899016245,0.10799787196311403
rimes,awgn,150,RIMES_awgn,0.04360275564879653,0.12537683986522433,0.042298642020809116,0.12058875687178577
rimes,awgn,200,RIMES_awgn,0.05403566467269583,0.1512679553112254,0.0528449522297508,0.1452385174676361
rimes,awgn,250,RIMES_awgn,0.0701953335412355,0.18868593722291185,0.06798401043290903,0.18176981734350062
rimes,blur,1.0,RIMES_awgn,0.036940436027556485,0.1104805816634155,0.03600487625095682,0.10569249866997694
rimes,blur,2.0,RIMES_awgn,0.043092450316105806,0.1239581486079092,0.040937827800300516,0.11633268309984039
rimes,blur,3.0,RIMES_awgn,0.06503557962180705,0.16616421351303423,0.061179939330366,0.15623337471182833
rimes,blur,4.0,RIMES_awgn,0.13576956879199387,0.27593544954779214,0.13114847050151673,0.26494059230359995
rimes,blur,5.0,RIMES_awgn,0.29688430244096053,0.4676361056924987,0.29104414141127777,0.45841461251995036
rimes,jpeg_compression,10,RIMES_awgn,0.036798684546253506,0.10977123603475794,0.03583477447339325,0.10498315304131939
rimes,jpeg_compression,6,RIMES_awgn,0.036543531879908144,0.10782053555594964,0.03563632239956908,0.10303245256251109
rimes,jpeg_compression,3,RIMES_awgn,0.038471352025628666,0.11154460010640184,0.03668528336121112,0.10551516226281256
